"HDI Rank","Country","GDI_value","HDI_f","HDI_m","Life_expectancy_at_birth_f","Life_Expectancy_at_birth_m","Expected_years_of_schooling_f","Expected_years_of_schooling_m","Mean_years_of_schooling_f","Mean_years_of_schooling_m","2017_Estimated _gross _ national_income_per_capita_f","2017_Estimated _gross _ national_income_per_capita_m"
32,"Greece",0.963041817949673,0.8688047753430154,0.9021464687719487,84.672,79.803,17.451,18.071,10.2908,10.7884,24061.739303709426,36475.589288256844
33,"Cyprus",0.9790503054886733,0.8764220739241164,0.8951757320443998,83.032,78.921,15.39407,14.94421,12.07645,12.26718,31880.869915379466,44532.59995158062
34,"Lithuania",1.0299156308783952,0.8941914162315672,0.868218123332033,81.371,70.294,17.07771,16.21226,13.10024,13.048,30987.27641913539,41389.08703570246
35,"Poland",1.0071102297898131,0.8801142643742882,0.8739006300809501,82.587,74.814,16.8762,15.32266,12.49645,12.44323,24826.791732612437,38850.140798084045
36,"Andorra",,,,,,,,10.43894,10.56401,,
37,"Latvia",1.035955000686093,0.8792878734840571,0.8487703354892074,80.012,70.233,16.84802,15.5158,13.44749688,12.55110471,25757.886473601397,35584.27549062458
38,"Portugal",0.9883174104291926,0.8582876104996814,0.8684331586620094,84.853,79.032,16.47511,16.59802,9.36642,9.14325,28937.20115733325,39571.33834895912
39,"Slovakia",0.9918148051098387,0.8550288152802001,0.8620851502468849,80.96,74.02,14.99228,14.00465,12.57560517,12.75176026,24617.901411793257,40014.435239373066
40,"Hungary",0.9807894581244346,0.8442751144582097,0.8608117751109585,80.289,73.244,15.52508,14.89364,11.74955,12.21046,23170.165248187714,40316.33240913051
40,"Saudi Arabia",0.8960899029569535,0.791461274258187,0.8832386925089674,76.759,73.935,16.01491,16.23254,9.75244,10.522,16511.711975393875,70180.9119858063
42,"Bahrain",0.9217169324821973,0.805511835617748,0.87392539643217,78.423,76.436,16.6709,16.09411,9.08769,9.72027,19059.247863402634,55564.603111811884
43,"Chile",0.9627589312244506,0.8325276348416307,0.8647311469578477,82.442,77.771,16.67013,16.23049,10.47589,10.7104,16397.96495008529,30321.884984345852
43,"Croatia",0.9900189694790634,0.8484817587070592,0.8570358597810712,81.59,75.296,15.95024,14.53507,11.09893,12.17293,23775.240506791688,32688.748476732333
45,"Qatar",1.0296748037406314,0.8659822850362833,0.8410250322629229,82.01,79.142,14.09975,11.34201,11.28132,9.36681,45338.14106792162,107833.0288902143
46,"Argenti ",0.9934519494449829,0.8348963927461835,0.8403993703093738,79.995,73.242,18.90873,16.43111,11.12250031,10.72909751,14872.167052348404,27825.756947878974
47,"Brunei Darussalam",0.9807064034458567,0.829894797751232,0.8462214530620725,77.106,74.728,14.78208,13.88855,9.134,9.166,54385.93399673991,72834.57072538676
48,"Montenegro",0.9661920538769245,0.8142015728441213,0.8426912326354487,79.303,74.441,15.37342,14.6553,10.93444252,12.29348194,17517.90711762671,25367.787479649596
49,"Romania",0.9913810337527182,0.8237000206149322,0.8308611851257072,79.525,72.609,14.69678,13.85499,10.76149,11.40741,24432.831136255216,34845.53965639217
50,"Palau",,,,,,16.29732914,15.29607806,,,,
51,"Kazakhstan",0.9802664241755157,0.8070648346015826,0.8233117188323472,77.669,69.23,15.7794,15.11553,10.85906734,11.92241205,16791.133203029807,29295.812776564162
52,"Russian Federation",1.0066508971738939,0.8229071431790637,0.8174702327185336,77.785,67.148,15.25936,14.80511,11.9142,12.0751,19693.99509009639,33639.838342489034
53,"Belarus",1.0066083723479982,0.8239285471938109,0.8185194657897874,79.572,69.652,15.66329,15.15881,12.2265,12.3852,14911.384022744807,22720.738736564595
54,"Turkey",0.9239286215250176,0.7835054024993082,0.8480150784874163,80.563,74.724,16.01757436,17.06999044,7.27688,8.95451,17853.9719729508,37806.62920026884
55,"Uruguay",1.0161750582009685,0.8142671443145796,0.801305973555535,81.478,74.119,17.1074,15.1415,9.19095,8.62677,15444.871229974346,25008.270904278383
56,"Bulgaria",0.9946854591719437,0.8130032114518209,0.8173470356434387,78.665,71.55,14.64193,14.20139,11.46954,11.23978,18453.147437628228,28482.73511572628
57,"Pa ma",1.0190276248713592,0.8260859559955009,0.810661002541305,81.756,75.421,13.46866,12.35793,11.176,9.966,24049.6835810293,35049.00300494913
58,"Bahamas",,,,76.081,71.659,,,11.6894,11.3766,27560.00169327545,40294.93824031322
58,"Barbados",1.008056712575181,0.8157027221264797,0.8091833643393793,80.482,77.814,16.8022377,13.98353575,10.9608034,10.335477,12655.9004537177,17370.23162955362
60,"Oman",0.9356256026877761,0.7682962791017042,0.8211578187841545,80.343,76.127,14.97261,13.70651,10.6469,9.3706,7959.235462523995,35201.07908152768
61,"Georgia",0.9795443902116027,0.8000559453284734,0.816763337448795,78.14,69.349,15.53048,15.04899,13.16372,13.09626,9475.46215876198,19863.700141291753
62,"Costa Rica",0.9812972413684269,0.8024452594025011,0.8177392390133338,82.893,77.739,16.40506,15.41735,8.85332,8.61567,13476.279037618453,23501.39534512869
62,"Malaysia",0.9717958908380916,0.797492387438931,0.8206377439517278,78.317,74.234,14.03851,13.33979,10.27343,10.47029,20824.622581911368,33877.30486654911
64,"Kuwait",0.9832069529957371,0.7930800996271221,0.8066258046799641,76.58,74.76,15.24291,13.24873,7.9741,6.83248,31697.753687751327,75839.6455778024
