"HDI Rank","Country","GII_Value","GII_Rank","Maternal_mortality ratio_(deaths_per_100k_livebirths)","Adolescent_birth rate_(births_per_1k_women_age_15-19)","Share of seats in parliament_(%_held_by_women)","f_with_at_least_some_secondary_education_in%","m_with_at_least_some_secondary_education_in%","f_Labour force participation rate_in%","m_Labour force participation rate_in%"
132,"Honduras",0.423,100,65.0,72.912,21.09375,32.20528,29.59922,51.987,85.927
133,"Bangladesh",0.537,133,173.0,82.962,20.63037249,39.83654,47.52994,36.26,81.366
134,"Kiribati",,,92.0,16.177,6.52173913,,,,
135,"Sao Tome and Principe",0.537,133,130.0,94.61,14.54545455,31.51726344,45.82051427,41.421,74.37
136,"Micronesia (Federated States of)",,,88.0,13.924,0.0,,,,
137,"Lao People's Democratic Republic",0.459,113,185.0,65.41,27.51677852,35.14817308,46.24109253,76.744,80.213
138,"Eswatini (Kingdom of)",0.567,143,437.0,76.695,12.12121212,31.34,33.88,48.527,56.78
138,"Ghana",0.538,135,308.0,66.611,13.09090909,55.74,71.63471177,63.629,71.891
140,"Vanuatu",,,72.0,49.437,0.0,,,60.956,78.781
141,"Timor-Leste",,,142.0,33.785,38.46153846,,,61.882,72.721
142,"Nepal",0.452,110,186.0,65.121,33.53293413,29.27355191,44.16,82.8,85.104
143,"Kenya",0.518,126,342.0,75.078,23.26139089,29.84,37.314,72.128,77.345
144,"Cambodia",0.474,117,160.0,50.177,19.2513369,15.08,28.22107809,76.305,88.871
145,"Equatorial Guinea",,,301.0,155.622,19.18604651,,,54.775,67.073
146,"Zambia",0.539,137,213.0,120.112,17.96407186,38.48815291,54.06777528,70.37,79.076
147,"Myanmar",0.478,118,250.0,28.509,11.56773212,28.74,23.48,47.497,77.361
148,"Angola",0.536,132,241.0,150.526,30.0,23.13283672,38.05568485,76.136,78.913
149,"Congo",0.57,144,378.0,112.229,13.63636364,46.72,51.34,67.532,71.396
150,"Zimbabwe",0.527,129,458.0,86.135,34.57142857,59.79201,70.78307,78.106,88.993
151,"Solomon Islands",,,104.0,78.003,4.081632653,,,82.096,85.551
151,"Syrian Arab Republic",0.482,122,31.0,38.592,13.2,37.12,43.372,14.446,74.119
153,"Cameroon",0.56,141,529.0,105.8,29.28571429,32.66160371,41.34689093,71.108,81.1
154,"Pakistan",0.538,135,140.0,38.802,20.0,27.56918,45.65944,21.919,81.743
155,"Papua New Guinea",0.725,161,145.0,52.655,0.0,9.987125672,15.16,46.316,48.044
156,"Comoros",,,273.0,65.351,6.060606061,,,36.581,49.943
157,"Mauritania",0.634,151,766.0,71.049,20.26143791,12.74896857,25.03682561,28.85,63.055
158,"Benin",0.612,148,397.0,86.096,7.228915663,18.33432267,33.94317184,68.808,72.983
159,"Uganda",0.535,131,375.0,118.836,34.8583878,27.48236041,35.13158644,66.998,73.921
160,"Rwanda",0.402,92,248.0,39.114,55.66037736,10.94261001,15.76883,83.932,83.361
161,"Nigeria",,,917.0,107.33,4.112554113,,,47.872,57.875
162,"Côte d'Ivoire",0.638,153,617.0,117.627,13.27683616,17.94919663,34.35813313,48.157,65.54
163,"Tanzania (United Republic of)",0.556,140,524.0,118.385,36.8956743,12.01460577,16.93175295,79.565,87.338
164,"Madagascar",,,335.0,109.59,16.90140845,,,83.372,88.938
165,"Lesotho",0.553,139,544.0,92.726,23.02631579,33.0426436,25.49245512,60.159,75.939
166,"Djibouti",,,248.0,18.841,26.15384615,,,50.71,68.792
167,"Togo",0.573,145,396.0,89.091,16.48351648,27.62,54.39332055,76.277,78.936
168,"Senegal",0.533,130,315.0,72.725,41.81818182,10.2595,26.47567507,35.048,57.514
169,"Afghanistan",0.655,157,638.0,68.957,27.24358974,13.22,36.92,21.595,74.658
170,"Haiti",0.636,152,480.0,51.676,2.739726027,26.86,40.02036707,61.874,72.798
170,"Sudan",0.545,138,295.0,63.993,27.53623188,15.43678948,19.49766664,29.103,68.197
172,"Gambia",0.612,148,597.0,78.185,10.34482759,31.46365385,44.352595,51.179,67.989
173,"Ethiopia",0.517,125,401.0,66.727,37.28571429,11.47565483,22.57430843,73.441,85.755
174,"Malawi",0.565,142,349.0,132.671,22.91666667,17.58,26.05175781,72.593,81.102
175,"Congo (Democratic Republic of the)",0.617,150,473.0,124.22,11.98686371,36.73039,65.81281,60.722,66.261
175,"Guinea-Bissau",,,667.0,104.823,13.7254902,,,65.835,78.653
175,"Liberia",0.65,156,661.0,135.962,11.65048544,18.54536769,40.11511391,72.058,80.615
178,"Guinea",,,576.0,135.294,22.80701754,,,62.699,60.205
179,"Yemen",0.795,162,164.0,60.352,0.970873786,19.92,36.9182701,5.834,70.183
180,"Eritrea",,,480.0,52.553,22.0,,,71.459,85.474
181,"Mozambique",0.523,127,289.0,148.626,41.2,13.96321,19.90741,77.281,79.005
182,"Burkina Faso",0.594,147,320.0,104.329,13.38582677,6.079310168,12.28004515,58.308,74.826
182,"Sierra Leone",0.644,155,1120.0,112.828,12.32876712,20.12582593,33.01000419,57.309,58.489
184,"Mali",0.671,158,562.0,169.127,9.523809524,7.34422,16.381122,61.248,80.613
185,"Burundi",0.504,124,548.0,55.59,38.75,7.5,11.37319532,80.434,77.819
185,"South Sudan",,,1150.0,62.04,26.55889145,,,70.959,73.833
187,"Chad",0.71,160,1140.0,161.09,14.88095238,1.738381058,10.5268837,63.944,77.547
188,"Central African Republic",0.68,159,829.0,129.074,8.571428571,13.42,31.32,64.44,79.776
189,"Niger",0.642,154,509.0,186.538,16.95906433,4.66,8.99986914,60.586,83.671
,"Very high human development",0.173,,14.171432985287568,17.195707037702416,28.27732364446739,86.51089908247235,88.61602458710398,52.31304698518612,69.14087013823423
,"High human development",0.34,,62.3214494342553,33.58540380310084,24.460325646022905,69.83414059201078,75.06619360593054,54.173396295330065,75.38112775662434
,"Medium human development",0.501,,161.48481599909599,34.614922553318245,20.352364159510195,30.13722224536853,46.316406901507,28.34440678582001,77.11454796612014
,"Low human development",0.592,,571.7804468693606,102.80484242645515,22.16024340750089,17.184907190853526,30.11948311731882,57.69529713713708,72.28050941018246
,"Developing countries",0.463,,224.3389206305217,47.209088689896404,22.71003609892584,52.962125025879864,62.30951476560883,45.6136837050781,75.72023719457661
,"Arab States",0.518,,135.37979686453735,46.77619169174512,17.991461679052247,49.32207156670337,55.777448044769514,20.65714407841788,73.03905412598262
,"East Asia and the Pacific",0.324,,73.07281315136143,22.14562059888119,20.17523530928416,69.36917161730291,76.52834453752749,59.246213624208316,76.50686019037995
,"Europe and Central Asia",0.256,,19.89153609138579,27.767539130908688,23.12724893658162,79.8654821570141,88.09465388676391,45.014153194661006,69.96112895109623
,"Latin America and the Caribbean",0.389,,72.73794653272891,63.23377967792659,31.4251639829024,60.37169631042394,59.742155914891484,52.0835880397058,76.85562266881115
,"South Asia",0.505,,148.55175769123477,26.032881714954566,17.523283890323217,31.264909527313506,48.4225917032554,23.182796504790684,76.97290248654295
,"Sub-Saharan Africa",0.57,,535.2485609107292,104.94484251127659,24.048815506500464,28.75953385021848,39.81020328514266,63.340002067627,72.67238444682118
,"World",0.436,,203.839786419763,43.33228566910905,24.639547116286597,61.00010685304,68.28807482937054,47.200605193693264,74.2424413644429
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
