,female_perc,male_perc,total_perc,agriculture,agriculture_female,agriculture_male,industry,industry_female,industry_male,services,services_female,services_male,female_share,law_prohibits_discrimination,parttime_female,parttime_male,parttime_total,selfemployed_female,selfemployed_male,selfemployed_total,law_harassment,unemployment_female_ILO,unemployment_female_national,unemployment_male_ILO,unemployment_male_national,unemployment_total_ILO,unemployment_total_national,ws_workers_female,ws_workers_male,ws_workers_total,penalties_harassment
desc,"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)",Female share of employment in senior and middle management (%),Law prohibits discrimination in employment based on gender (1=yes; 0=no),"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)",There is legislation on sexual harassment in employment (1=yes; 0=no),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no)
2002,2.6,6.8,5,2.5,2,2.9,32.4,17.6,44.2,65.2,80.4,52.9,22,Ja,77.3,10.9,26.8,8.3,13.3,11.1,Nein,8.2,8.2,8.7,8.7,8.5,8.5,91.7,86.7,88.9,Nein
2003,2.5,7,5,2.4,1.8,2.9,31.4,16.9,43.1,66.2,81.2,54,23.1,Ja,76.8,11.8,28.2,8.2,13.9,11.4,Nein,9.3,9.3,10.2,10.2,9.8,9.8,91.8,86.1,88.6,Nein
2004,2.7,7.2,5.2,2.4,1.7,2.9,31.2,17,42.9,66.4,81.3,54.2,22.8,Ja,75.5,12.9,29.2,8.8,14.7,12.1,Nein,10.1,10.1,11.2,11.2,10.7,10.7,91.2,85.3,87.9,Nein
2005,2.6,6.8,4.9,2.4,1.7,2.9,29.8,16,41.1,67.8,82.2,56,23.6,Ja,68.7,19.4,34.5,9.4,14.8,12.4,Nein,10.9,10.9,11.4,11.4,11.2,11.2,90.6,85.2,87.6,Nein
2006,2.6,6.8,4.9,2.3,1.6,2.8,29.6,16,40.8,68.1,82.4,56.3,24.2,Ja,68.7,19.9,35.2,9.2,14.5,12.1,Nein,10.2,10.2,10.3,10.3,10.2,10.2,90.8,85.5,87.9,Nein
2007,2.5,6.8,4.8,2.3,1.6,2.8,29.9,15.9,41.4,67.8,82.4,55.8,24.8,Ja,67.9,21,36.1,9.2,14.3,12,Ja,8.8,8.8,8.6,8.5,8.7,8.7,90.8,85.7,88,Ja
2008,2.5,6.6,4.8,1.8,1.3,2.2,29.3,15,41.2,68.9,83.7,56.7,25.7,Ja,67.2,21.8,36.6,8.8,14,11.7,Ja,7.6,7.6,7.4,7.4,7.5,7.5,91.2,86,88.3,Ja
2009,2.5,6.8,4.8,1.7,1.2,2,28.8,14.6,40.8,69.5,84.2,57.2,26.8,Ja,64.8,25.3,39.3,8.4,14.2,11.6,Ja,7.3,7.3,8.1,8.1,7.7,7.7,91.6,85.8,88.4,Ja
2010,2.6,6.8,4.9,1.6,1.2,2,28.3,14.3,40.2,70,84.5,57.8,27.5,Ja,66.9,23,38,8.4,14.2,11.6,Ja,6.5,6.5,7.4,7.4,7,7,91.6,85.8,88.4,Ja
2011,2.5,6.7,4.8,1.6,1.2,2,28.2,14.2,40.2,70.1,84.6,57.8,27.9,Ja,66.4,24.1,39.2,8.5,14.4,11.7,Ja,5.6,5.6,6,6,5.8,5.8,91.5,85.6,88.3,Ja
2012,2.5,6.7,4.8,1.6,1.1,2,28.2,14.2,40.1,70.2,84.8,57.9,27.1,Ja,65.4,25.5,40.1,8.3,14.3,11.6,Ja,5.2,5.2,5.5,5.5,5.4,5.4,91.7,85.7,88.4,Ja
2013,2.5,6.6,4.7,1.5,1,1.8,27.8,14,39.6,70.8,85,58.5,27.5,Ja,65.4,26.1,40.9,8.1,13.9,11.2,Ja,4.9,4.9,5.5,5.5,5.2,5.2,91.9,86.1,88.8,Ja
2014,2.5,6.5,4.6,1.4,1,1.8,28,14.2,40,70.5,84.8,58.2,27.8,Ja,65.5,25.9,40.5,8,13.5,11,Ja,4.6,4.6,5.3,5.3,5,5,92,86.5,89,Ja
2015,2.51,6.46,4.62,1.39,0.96,1.78,27.69,13.86,39.7,70.92,85.19,58.53,28.05,Ja,65.97,25.61,40.45,7.75,13.36,10.75,Ja,4.22,4.22,4.97,4.97,4.62,4.62,92.25,86.64,89.25,Ja
2016,2.43,6.18,4.43,1.31,0.89,1.67,27.38,13.8,39.21,71.31,85.31,59.12,28.09,Ja,66.55,24.87,39.74,7.65,12.84,10.43,Ja,3.74,3.74,4.45,4.45,4.12,4.12,92.35,87.16,89.58,Ja
2017,2.39,6.08,4.36,1.28,0.88,1.62,27.4,13.86,39.24,71.32,85.26,59.14,28.21,Ja,65.75,26.24,40.79,7.55,12.51,10.2,Ja,3.32,3.31,4.12,4.12,3.75,3.75,92.45,87.49,89.8,Ja
2018,2.3,5.95,4.25,1.25,0.85,1.6,27.34,13.95,39,71.41,85.21,59.4,28.58,Ja,65.54,26.29,40.81,7.29,12.17,9.9,Ja,2.91,2.91,3.79,3.79,3.38,3.38,92.71,87.83,90.1,Ja
2019,2.31,5.96,4.26,1.21,0.83,1.53,27.18,13.9,38.74,71.61,85.27,59.73,28.59,Ja,65.26,26.62,41.14,6.98,11.89,9.61,Ja,2.73,2.73,3.5,3.49,3.14,3.14,93.02,88.11,90.39,Ja
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ja,NA,NA,NA,NA,NA,NA,Ja,NA,3.37,NA,4.19,4.31,3.81,NA,NA,NA,Ja
